donor_id,name,email,contact_number,password,date_of_birth,gender,education_level,blood_group,first_donation_date,last_donation_date,number_of_donation,total_donation_volume_ml,last_donation_volume_ml,donation_count_outram,donation_count_dhoby_ghaut,donation_count_woodlands,donation_count_jurong_east,donation_count_punggol,had_adverse_reaction_ever,last_blood_quality_screen,availability
ce683e6a2d,Bianca Smith,biancasmith9141@hotmail.com,+65 87054665,6%hqb!N#pe,1998-01-01,Female,University,O-,2022-06-21,2025-07-23,13,4975,387,0,6,0,3,4,False,Pass,Yes
94dfde6e0f,Chloe Chen,chloechen4552@gmail.com,+65 85718137,PbsiDieFzQ,2000-05-01,Female,Diploma,O+,2022-05-25,2025-08-13,15,5788,432,3,7,2,3,0,False,Pass,Yes
fce9de9e16,Youssef Iskandar,youssefiskandar7056@hotmail.com,+65 84837332,^WHggE0Aje,1972-11-27,Male,Diploma,O-,2025-01-15,2025-07-09,3,1237,385,0,2,1,0,0,False,Pass,Yes
a38fbcb1c0,Thiago Young,thiagoyoung6795@hotmail.com,+65 87142646,dCQavojsxa,1996-01-17,Male,Secondary,AB+,2021-12-19,2024-12-15,14,4997,401,2,2,6,1,3,False,Pass,Yes
9adbd71a08,Ruoyi Ma,ruoyima3881@gmail.com,+65 82117096,GOPW!T?w&w,2006-05-29,Female,Diploma,O+,2024-11-25,2025-08-04,4,1560,425,1,0,1,2,0,True,Pass,No
2eb06e7a4f,Siti Mahmud,sitimahmud4138@gmail.com,+65 90693661,YgNTxjX^?#,1996-12-28,Female,Diploma,O+,2022-09-01,2025-06-05,13,5827,393,4,2,4,1,2,False,Pass,Yes
5f80eceb36,Noah Salleh,noahsalleh864@hotmail.com,+65 95188272,#kF^pGybdJ,2003-09-16,Male,Diploma,O-,2024-03-18,2025-08-22,5,1985,450,0,0,2,1,2,False,Pass,Yes
8a715e2ca2,Olivia Silva,oliviasilva9786@gmail.com,+65 87203516,Lz^M3Kb!dB,1968-09-04,Female,Secondary,A+,2024-09-06,2024-11-29,2,722,404,1,1,0,0,0,False,Pass,Yes
70d7f6fe1e,Irfan Young,irfanyoung6344@hotmail.com,+65 84495870,Q6MwfUvQEW,1988-12-15,Male,University,O+,2022-09-07,2025-03-19,12,5332,449,7,0,1,3,1,True,Pass,Yes
374fb5a7ca,Jun Scott,junscott3525@hotmail.com,+65 92101798,&?VYNuvlYX,1994-10-24,Male,University,O+,2023-03-07,2025-08-28,8,3098,397,1,1,6,0,0,False,Pass,Yes
ecea9ead6f,Pranav Mahmud,pranavmahmud1302@hotmail.com,+65 86513551,%kUZQ7O6cd,1965-01-06,Male,Primary,B+,2022-09-07,2025-03-19,12,4350,359,1,7,0,4,0,False,Pass,Yes
c9daa88c4c,Abigail Pillai,abigailpillai9474@hotmail.com,+65 87454309,J&pzdJ!UHM,1987-06-11,Female,Primary,A+,2024-01-11,2025-08-21,8,2905,401,1,7,0,0,0,False,Pass,Yes
3f9beda134,Maya Liu,mayaliu9789@hotmail.com,+65 99775751,SS7kWc^hbw,2000-01-30,Female,University,O+,2022-11-29,2025-01-14,10,4431,391,1,8,0,1,0,False,Pass,No
7aef076e4d,Dewi Luo,dewiluo605@hotmail.com,+65 91782026,$xGTL@jJt5,1984-02-15,Female,Secondary,A+,2020-02-21,2024-06-25,18,6480,356,1,7,5,2,3,False,Pass,No
f1c1cbc37b,Riya Menon,riyamenon1933@hotmail.com,+65 96211764,MHMVpr19fF,1987-04-06,Female,Primary,O+,2025-03-31,2025-10-17,3,1130,446,0,3,0,0,0,False,Pass,Yes
d8febe73bb,Amira Salleh,amirasalleh59@gmail.com,+65 80309909,cD22*TD?B9,2004-01-12,Female,Primary,O+,2024-07-23,2024-07-23,1,403,403,1,0,0,0,0,False,Pass,No
e67dabfa74,Richard Zhou,richardzhou3092@gmail.com,+65 92939217,11#XXCqwuH,1976-11-11,Male,Postgraduate,B-,2020-02-18,2025-07-06,18,7553,390,2,15,0,1,0,False,Pass,Yes
b90fb6bf9e,Suresh Gonzalez,sureshgonzalez3025@gmail.com,+65 88080016,ekpGeT%#Ub,1998-01-23,Male,University,A+,2023-04-11,2025-06-11,9,3357,392,0,5,2,1,1,False,Pass,Yes
e3c043cce6,Firdaus Murphy,firdausmurphy929@gmail.com,+65 80863998,$q@XOt$WtM,2006-02-10,Male,Secondary,O+,2025-03-29,2025-09-13,3,1188,401,0,1,1,1,0,False,Pass,Yes
072d78681d,Elena Das,elenadas1414@hotmail.com,+65 87017673,havztjnFNC,1981-04-26,Female,Secondary,O+,2024-04-23,2024-11-13,3,1059,391,0,2,0,0,1,False,Pass,Yes
1fa8befbb7,Rahman Reddy,rahmanreddy1875@gmail.com,+65 86594742,X64DJSrUY4,1976-01-25,Male,Diploma,A+,2023-06-24,2025-04-26,9,3884,405,0,2,3,0,4,False,Pass,Yes
584e90d4d8,Zulkifli Qiu,zulkifliqiu8547@hotmail.com,+65 94463381,8UWl*rmlN&,1971-01-14,Male,Secondary,A+,2022-05-31,2025-09-27,12,4823,445,3,7,0,1,1,False,Pass,Yes
ac22bc8c0f,Xiang Li,xiangli7949@gmail.com,+65 88954648,Ifc2utMlG0,1976-06-23,Male,Diploma,O+,2021-08-24,2025-09-17,18,7765,372,2,4,11,0,1,False,Pass,Yes
b6e8e70baa,Rahul Lee,rahullee2231@hotmail.com,+65 89818278,2WIOtDGS!g,1986-09-19,Male,Secondary,O-,2024-02-19,2025-10-17,8,3143,430,0,1,3,3,1,False,Pass,No
b9072cfa51,Nadia Feng,nadiafeng2171@hotmail.com,+65 88803066,dSZ1EggpfQ,1988-10-08,Female,Secondary,B+,2024-08-23,2025-06-08,4,1715,412,1,0,0,3,0,True,Pass,No
a2adbffe2c,Ruoyi Anderson,ruoyianderson5162@gmail.com,+65 82056676,8UvKK1ud@^,1978-06-05,Female,University,A+,2023-02-27,2024-01-29,5,1857,442,0,1,2,0,2,False,Pass,Yes
3bfe1a6c7c,James Yang,jamesyang211@gmail.com,+65 84319859,0DwDZtfAJ#,1988-02-04,Male,University,O-,2021-06-14,2025-08-11,13,5503,384,7,2,1,1,2,False,Pass,Yes
56bfa6514b,Mei Taylor,meitaylor8071@gmail.com,+65 87098573,*ggj6fOE&q,2004-06-09,Female,University,A+,2024-09-21,2025-04-29,3,1313,438,1,0,0,2,0,False,Pass,Yes
ec5b01d92d,Xiang Smith,xiangsmith8422@gmail.com,+65 92904472,G5ja6*j6AS,1995-09-15,Male,Secondary,A-,2024-04-26,2025-05-11,2,718,365,0,0,2,0,0,False,Pass,No
e82633ebfe,Ryan Zhao,ryanzhao3821@gmail.com,+65 85092179,7wbP$289&A,1974-09-12,Male,Postgraduate,A+,2020-06-12,2024-08-02,19,6756,444,1,3,1,0,14,False,Pass,Yes
b00527d31e,John Rosli,johnrosli3445@gmail.com,+65 83770441,D!yA63P1qG,2002-07-15,Male,Secondary,O+,2023-12-14,2024-08-24,3,1149,368,2,0,1,0,0,False,Pass,Yes
9a518bffec,Olivia Menon,oliviamenon6522@hotmail.com,+65 98263331,dFs7OkXgV5,1965-01-15,Female,University,B+,2023-02-08,2025-05-28,11,4177,386,8,1,1,1,0,False,Pass,Yes
d5eca38de8,Tanvi Smith,tanvismith9054@hotmail.com,+65 95907571,kOP&hh339!,1990-09-30,Female,Postgraduate,O+,2023-03-16,2025-01-25,9,3554,446,2,5,0,2,0,False,Pass,Yes
cbd208d3dc,Ridzuan Iskandar,ridzuaniskandar6681@hotmail.com,+65 98513518,!cn77rG$Yt,1988-11-21,Male,Primary,AB+,2024-08-01,2025-09-16,5,2092,439,0,1,2,0,2,False,Pass,Yes
1fec5fd63a,John Rahman,johnrahman4145@hotmail.com,+65 94332468,ChKV7ATRvh,1994-06-29,Male,Secondary,B+,2024-10-14,2025-03-31,3,1118,432,0,1,1,1,0,False,Pass,Yes
d06a3aaa1d,Zara Zhou,zarazhou7746@gmail.com,+65 88320812,DO#GwY3ISm,1967-01-12,Female,Diploma,O+,2023-02-17,2025-10-24,12,5070,383,0,6,1,1,4,False,Pass,Yes
0d5b1fee0f,Yan Yusof,yanyusof7479@hotmail.com,+65 98939319,$CqZj0PlAU,1987-04-05,Female,Secondary,A+,2024-02-05,2025-10-25,4,1476,417,0,1,3,0,0,False,Pass,No
d32ffc2eac,Suyin Anderson,suyinanderson1908@gmail.com,+65 80163892,0AyiCG7WHD,1987-09-08,Female,Diploma,A+,2022-09-11,2025-10-30,12,5202,364,3,3,5,0,1,True,Pass,No
ae29c01dd6,Tanvi Huang,tanvihuang200@gmail.com,+65 98804290,pTCqG4F8Fi,1980-05-01,Female,Diploma,O-,2023-10-20,2024-09-20,5,2239,378,1,0,4,0,0,False,Pass,No
ca9ef2ab1e,Carmen Yusof,carmenyusof8983@hotmail.com,+65 80117716,n%BG3YhD$7,1992-12-08,Female,Postgraduate,B+,2025-04-21,2025-04-21,1,396,396,1,0,0,0,0,False,Pass,Yes
e4a365cf6a,Marcus Yusof,marcusyusof5667@gmail.com,+65 85631345,VD17u85Lbk,1972-02-27,Male,Diploma,A+,2024-04-10,2025-07-04,5,1976,387,2,0,3,0,0,False,Pass,Yes
1fbfbb3b87,Caleb Luo,calebluo8428@gmail.com,+65 90221804,%c$Q2S7v4N,2000-09-15,Male,University,O+,2024-11-17,2025-10-06,4,1659,440,0,0,2,1,1,False,Pass,No
c7b6fd6e8c,Linda Bennett,lindabennett5444@gmail.com,+65 80120894,GCwBiaZe0d,1969-05-29,Female,Secondary,A+,2022-11-07,2025-10-27,13,4966,374,4,1,3,3,2,False,Pass,Yes
2e2dd69d6c,Samir Martinez,samirmartinez2343@gmail.com,+65 82811788,%?GNuegZIx,2005-02-05,Male,Secondary,B+,2024-11-25,2025-10-27,5,1821,421,3,2,0,0,0,False,Pass,Yes
d3ae0a555e,Lakshmi Guo,lakshmiguo6003@hotmail.com,+65 88581503,aq&*W1jlOO,1988-06-01,Female,Secondary,A-,2022-08-05,2025-05-09,13,4779,363,4,1,5,2,1,False,Pass,No
25bfaa43c0,Farah Das,farahdas5995@gmail.com,+65 93953844,QJjlfTpnzY,1988-04-25,Female,Postgraduate,O-,2023-08-20,2023-08-20,1,416,416,0,0,1,0,0,False,Pass,No
2edb0ee99d,Caleb Martinez,calebmartinez4343@gmail.com,+65 99503105,#W6Qm#Q!L1,2005-08-29,Male,University,A+,2025-06-07,2025-08-30,2,889,386,0,2,0,0,0,False,Pass,Yes
be2bbbdf18,Nadia Salleh,nadiasalleh4291@hotmail.com,+65 96932551,NI?P2Cj9iq,1986-07-16,Female,University,B+,2023-03-25,2025-10-02,10,4410,379,5,4,1,0,0,False,Pass,Yes
c58216ebfd,Ana Chen,anachen2589@gmail.com,+65 97335570,gu6#y&tRn%,1997-08-25,Female,Postgraduate,B+,2024-08-06,2025-02-22,2,886,434,0,1,0,1,0,False,Pass,Yes
4c1babb8f3,Xinyi Patel,xinyipatel2565@gmail.com,+65 89666750,ISI*@9I*$t,1970-07-09,Female,Postgraduate,O+,2022-11-23,2025-08-27,13,4671,386,1,1,6,1,4,False,Pass,Yes
2df4ce3b7e,Gavin Taylor,gavintaylor8195@gmail.com,+65 97355360,5HSFxzN%sb,1965-06-07,Male,Primary,A+,2023-06-09,2025-10-06,10,4201,403,1,8,0,1,0,False,Pass,No
d1e85a92b3,Amina Reddy,aminareddy9626@hotmail.com,+65 91812277,oCg%Hd2L?h,1985-10-01,Female,Diploma,B-,2024-11-13,2025-10-15,5,2056,430,1,2,1,0,1,False,Pass,Yes
5fec41dbbd,Jing Guo,jingguo4983@gmail.com,+65 85712564,1v24Q4Mn!F,2002-05-24,Female,Diploma,O-,2024-04-16,2024-11-12,3,1241,445,0,2,1,0,0,False,Pass,Yes
8fe3aac2a6,Chloe Zhao,chloezhao4376@hotmail.com,+65 85182309,YB*r?o0gVo,1991-06-17,Female,Secondary,O+,2024-01-29,2025-09-16,3,1153,377,0,1,0,1,1,False,Pass,No
47a6cec136,Daniel Zhao,danielzhao5834@gmail.com,+65 81297784,nWzj@IFuXn,1997-12-01,Male,Postgraduate,A+,2024-06-14,2025-10-31,7,2727,365,0,3,2,1,1,False,Pass,Yes
f92bcbebde,Peng Zhao,pengzhao4365@gmail.com,+65 88025123,nUO^NN02OV,1988-03-22,Male,University,O+,2022-09-21,2025-10-24,12,4990,399,3,5,1,1,2,False,Pass,Yes
dd6ac11a7b,Shreya Martinez,shreyamartinez9124@gmail.com,+65 80313528,gC$0Z4m6WO,1971-06-01,Female,Secondary,O+,2023-05-31,2025-09-26,11,4869,420,0,7,1,0,3,False,Pass,Yes
977d06fdf9,Joseph Johnson,josephjohnson4311@gmail.com,+65 95711546,nR0rf3w$gV,1996-07-14,Male,Diploma,O+,2025-08-29,2025-08-29,1,405,405,0,1,0,0,0,False,Pass,Yes
e726d8fbfd,Cooper Carter,coopercarter8583@hotmail.com,+65 96966395,seoXtH^eUV,2007-07-09,Male,Diploma,A+,2025-10-30,2025-10-30,1,386,386,0,0,1,0,0,False,Pass,Yes
e6ce26dfad,Syafiq Aziz,syafiqaziz9396@gmail.com,+65 99935215,49vYLj?*k%,1980-02-13,Male,Secondary,O+,2022-02-01,2025-08-10,15,5703,430,1,2,3,2,7,False,Pass,Yes
9c0fb8acbd,Harper Qiu,harperqiu1093@gmail.com,+65 98434240,0BwR0QL!3K,1986-06-08,Female,University,O+,2023-05-25,2025-10-17,11,3879,437,8,0,1,2,0,False,Pass,Yes
ce3d3f96a9,Harper Bennett,harperbennett1487@hotmail.com,+65 96977114,zLB4K^AB2#,2003-03-26,Female,University,O+,2024-11-03,2025-04-20,3,1226,449,0,0,1,2,0,True,Pass,No
3ace268819,Joshua Chen,joshuachen4019@hotmail.com,+65 80160868,v$dDmVRXQ3,1996-09-01,Male,Primary,O+,2025-02-21,2025-02-21,1,413,413,1,0,0,0,0,False,Pass,Yes
f516ca278c,Lucas Silva,lucassilva8524@hotmail.com,+65 98822114,40oRDdy5pT,1990-03-13,Male,Secondary,O+,2023-06-07,2024-10-08,6,2692,417,0,3,1,0,2,False,Pass,Yes
2bbe90ab4e,Madison Ibrahim,madisonibrahim520@hotmail.com,+65 96853587,YwcDJqG^pv,1965-08-08,Female,University,O-,2023-08-15,2025-09-23,8,3517,418,2,3,1,1,1,False,Pass,Yes
b8f2c16ac5,Liling Mitchell,lilingmitchell7719@gmail.com,+65 81823193,9xIeiH8uyO,1971-06-09,Female,Secondary,O-,2020-12-12,2025-10-08,17,6036,436,3,6,3,3,2,False,Pass,Yes
609cdf8943,Harper Qiu,harperqiu5197@hotmail.com,+65 99979956,K88e@&aN*h,1994-03-07,Female,Primary,A+,2022-08-06,2025-10-04,12,5347,389,5,0,2,3,2,False,Pass,Yes
abca6bbd5d,Nadia Zheng,nadiazheng7454@hotmail.com,+65 93240477,t$OccIAP&f,2001-05-06,Female,Secondary,O-,2023-08-20,2023-11-12,2,895,405,1,0,0,1,0,False,Pass,No
3afa59e4a7,Qiao Salleh,qiaosalleh2181@hotmail.com,+65 98011514,5sXI49yfk%,1996-11-22,Female,Diploma,O-,2023-03-21,2025-05-29,9,3410,387,4,1,2,0,2,False,Pass,Yes
46402eecee,Lei Hassan,leihassan4385@gmail.com,+65 96377751,xXmMV7aghF,1996-10-12,Male,Diploma,AB+,2023-10-31,2025-07-30,8,2809,405,1,0,0,4,3,False,Pass,Yes
01b02beaed,Hafiz Liang,hafizliang4906@hotmail.com,+65 86306711,ZQIeMvL7F?,1978-09-29,Male,Secondary,O+,2020-12-03,2025-03-04,19,7582,448,3,6,2,4,4,False,Pass,Yes
d7239fc9e0,Guang Lee,guanglee7484@gmail.com,+65 88147284,5*Wx*Oj742,2004-09-30,Male,University,AB+,2025-05-18,2025-05-18,1,429,429,0,0,1,0,0,False,Pass,Yes
3e0e697ba0,Karthik Lim,karthiklim4944@hotmail.com,+65 90215037,Mp2Utn4W&H,2001-08-18,Male,University,A+,2025-05-03,2025-05-03,1,376,376,1,0,0,0,0,False,Pass,Yes
c1cafdc6aa,Peng Sun,pengsun7509@gmail.com,+65 99216018,Gmy!Q4TRm&,1965-02-13,Male,Secondary,A+,2023-04-28,2025-10-15,9,3357,391,7,1,0,0,1,False,Pass,Yes
c1d7095ebb,John Brown,johnbrown3581@gmail.com,+65 92604378,1bG2!C4AGS,1989-04-01,Male,University,O+,2025-02-14,2025-10-30,3,1347,355,0,0,3,0,0,False,Pass,Yes
fd3b43fdb3,Li Na Lopez,linalopez5513@hotmail.com,+65 96746554,O@v4qAu8ku,1977-12-30,Female,University,A+,2022-07-26,2025-06-19,12,4331,359,0,7,3,1,1,False,Pass,Yes
b9e1b46ded,Jean Ma,jeanma9270@hotmail.com,+65 96791534,7FgdTPp%tb,2002-01-16,Male,Secondary,B+,2024-05-03,2025-01-20,2,894,350,0,1,1,0,0,False,Pass,No
af717df16e,Hannah Gonzalez,hannahgonzalez4019@gmail.com,+65 87495344,sW*6A0bsPk,1995-04-04,Female,Secondary,A+,2022-10-01,2023-11-25,6,2396,388,0,2,3,1,0,False,Pass,Yes
7bdda7f0b4,Hakim Kumar,hakimkumar2681@gmail.com,+65 81218685,LN1iGf6$Iw,2003-12-20,Male,University,O+,2025-01-01,2025-08-08,2,754,388,0,0,2,0,0,False,Pass,No
ff3a0feeca,Jean Li,jeanli1591@gmail.com,+65 85260172,Pz83RJe62L,1976-11-25,Male,Secondary,A+,2024-05-24,2025-10-24,3,1063,405,1,1,0,1,0,False,Pass,Yes
9aaadabe7e,Arjun Chandra,arjunchandra2947@gmail.com,+65 96356136,*0@lzoo7Cq,1994-03-28,Male,Secondary,A-,2022-11-30,2024-04-17,7,2955,421,4,0,2,1,0,False,Pass,No
fa2fa2eefc,Neha Mitchell,nehamitchell3318@hotmail.com,+65 94238590,E#BwAGcN9v,1965-02-27,Female,Secondary,B-,2024-02-20,2025-09-23,2,777,372,0,1,1,0,0,True,Pass,No
e36f4df1c4,Ethan Kumar,ethankumar2791@gmail.com,+65 90645404,bwOwgIXoJ5,1994-02-22,Male,Secondary,AB-,2023-04-24,2024-09-09,7,2859,444,1,1,4,0,1,False,Pass,No
5aac9cedc5,Sofia Martinez,sofiamartinez7435@gmail.com,+65 86514689,tT58#%ZeoG,1990-01-20,Female,University,O+,2024-06-28,2025-03-18,2,830,359,0,1,0,1,0,False,Pass,Yes
52b7c8a593,Daniel Tan,danieltan5153@hotmail.com,+65 89436097,jh0%L6^%r!,1994-06-30,Male,Secondary,A+,2024-08-21,2025-08-16,4,1762,432,1,2,0,1,0,False,Pass,Yes
dedda80dce,Yara Wang,yarawang905@gmail.com,+65 95393818,8B#B*sg6qo,2003-03-26,Female,Secondary,O+,2024-03-17,2024-11-24,4,1590,404,0,3,0,1,0,False,Pass,No
89518e2f9e,Kavya Sun,kavyasun4280@gmail.com,+65 97141898,p^$TS#*oXl,1986-05-24,Female,University,O+,2022-11-02,2025-10-29,14,5933,420,3,5,3,2,1,False,Pass,Yes
dcae6dda56,Diego Yang,diegoyang97@hotmail.com,+65 93339552,J%!jwLkidj,1984-09-11,Male,University,A+,2023-08-18,2025-10-29,9,4027,391,2,6,0,0,1,False,Pass,Yes
1c3b6ae2a9,Hassan Chen,hassanchen5407@gmail.com,+65 93779520,Twdf^BCm&9,1974-03-07,Male,Diploma,O-,2022-04-22,2025-07-11,15,6747,424,11,0,0,1,3,False,Pass,Yes
0aabc09f6f,Imran Tan,imrantan7835@hotmail.com,+65 89632455,$KKDGZ5zP2,1974-11-28,Male,Secondary,A+,2022-11-15,2025-07-30,12,4876,384,1,8,1,2,0,False,Pass,Yes
a0956c872c,Grace Li,graceli3136@gmail.com,+65 86104128,8Mg2kDi#0F,1971-12-30,Female,Secondary,O-,2020-02-06,2025-04-06,6,2376,411,0,2,3,1,0,False,Pass,Yes
4f1a33abea,Lily Murphy,lilymurphy5643@hotmail.com,+65 85569874,!ZBD%UzH&l,1986-03-02,Female,Primary,B+,2023-04-25,2025-02-25,9,3359,412,3,3,2,0,1,False,Pass,Yes
c24fa0ca63,Joseph Young,josephyoung7499@gmail.com,+65 87681551,iozZY2J9kz,1982-10-18,Male,Secondary,A+,2022-10-28,2025-09-16,6,2236,429,0,2,0,3,1,False,Pass,Yes
bef94bbefd,Blake Clark,blakeclark1017@hotmail.com,+65 86690676,KuCWNv0#at,1986-05-10,Male,Secondary,O+,2024-05-31,2025-10-17,7,3079,402,0,0,0,6,1,True,Pass,Yes
241e8cbdce,Xin Aziz,xinaziz9538@gmail.com,+65 92685137,hKn3GkEDgE,1973-08-04,Female,Primary,O+,2023-01-12,2025-10-29,13,4993,416,2,0,8,2,1,False,Pass,Yes
3eae3a1dd8,Liam Ma,liamma9670@hotmail.com,+65 89321705,edIvGxA77j,1965-04-16,Male,Secondary,A+,2022-07-26,2025-02-04,12,5033,365,4,6,0,1,1,False,Pass,Yes
3ee1f3f623,Michael Ibrahim,michaelibrahim3381@gmail.com,+65 90535493,mbLBg*Mum2,1974-02-10,Male,Postgraduate,O-,2023-08-15,2025-10-06,9,3867,430,2,2,5,0,0,False,Pass,Yes
dedff6e74f,Ravi Hassan,ravihassan9805@hotmail.com,+65 99828215,egX6Z?!oJ4,1975-05-05,Male,Primary,A+,2021-02-20,2025-10-27,20,7538,352,2,2,2,4,10,False,Pass,Yes
15c5bb4eff,Wyatt Hakim,wyatthakim8100@hotmail.com,+65 82972183,9OJNUOWOej,1994-12-13,Male,Diploma,A+,2024-12-25,2024-12-25,1,445,445,1,0,0,0,0,False,Pass,Yes
1106c12e96,Maya Lee,mayalee466@hotmail.com,+65 98563212,ydx4%3R2SP,1990-11-26,Female,Primary,B+,2022-11-27,2025-10-28,11,4097,442,4,5,1,0,1,False,Pass,Yes
0ce1bcc944,Mason Xu,masonxu8347@hotmail.com,+65 94742703,E&1w!3kvyA,1997-09-16,Male,Diploma,A-,2024-03-20,2025-08-06,7,2457,429,0,3,0,2,2,False,Pass,Yes
51d4bb71bd,Olivia Kumar,oliviakumar3454@hotmail.com,+65 92869998,!ek$4nAAQ*,1967-10-11,Female,Secondary,AB+,2023-02-10,2025-10-06,12,5295,424,1,9,0,1,1,False,Pass,Yes
be2104476b,Joshua Yusof,joshuayusof7292@hotmail.com,+65 85464448,wBmqTzf7KT,1970-03-09,Male,University,O+,2022-11-08,2025-09-02,13,5036,441,1,2,7,1,2,False,Pass,Yes
fe63e3cd04,Azman Johnson,azmanjohnson8818@hotmail.com,+65 95501995,4#OBB^eBHx,1991-08-04,Male,Postgraduate,O+,2022-11-22,2025-07-02,12,4609,409,7,0,1,3,1,False,Pass,Yes
ff6db35daa,Jean Murphy,jeanmurphy2611@hotmail.com,+65 85620103,5L#!GO0u!G,1973-06-21,Male,Secondary,O+,2022-11-27,2024-11-08,3,1097,400,2,1,0,0,0,False,Pass,Yes
cd32a3e069,Khairul Liu,khairulliu1209@hotmail.com,+65 93310271,VGGfUYFHtl,1976-11-20,Male,Secondary,O-,2023-07-10,2025-02-17,8,3378,442,2,3,0,1,2,False,Pass,Yes
6d0d9aaffb,Nicholas Gao,nicholasgao2746@gmail.com,+65 95836693,EqhwbUappU,2006-11-25,Male,Secondary,A+,2024-11-29,2025-10-31,5,1939,448,2,2,0,0,1,True,Pass,No
4db4d1ae1f,Ella Wang,ellawang3910@hotmail.com,+65 91370748,1q0yod$?4X,1970-08-19,Female,Postgraduate,O+,2022-09-14,2025-10-25,11,4271,407,1,2,5,1,2,False,Pass,Yes
ec80e8c495,Gavin Salleh,gavinsalleh6243@hotmail.com,+65 94360141,naJZI$%&AI,1977-09-27,Male,Diploma,O+,2024-05-19,2025-10-05,7,2567,398,1,2,1,3,0,False,Pass,Yes
4af03a2b99,Natalie Varma,natalievarma6525@gmail.com,+65 88146558,P01$9hO45t,1968-05-20,Female,Diploma,B+,2025-02-08,2025-02-08,1,368,368,0,1,0,0,0,False,Pass,Yes
76578dfdb0,William Aziz,williamaziz7839@hotmail.com,+65 80296702,4AK&sI1QxW,1986-08-15,Male,Secondary,O+,2024-07-25,2025-09-13,4,1477,447,1,0,0,1,2,False,Pass,Yes
ef2f0e786f,Nicholas Varma,nicholasvarma4824@gmail.com,+65 88877040,7??H@^IMrm,1973-09-03,Male,Diploma,O-,2023-09-14,2025-10-29,9,3165,391,2,6,0,1,0,False,Pass,No
d3ebfd6f2f,Vishal Chen,vishalchen5102@gmail.com,+65 88933675,QpCMGk%7JG,1995-12-03,Male,Postgraduate,O+,2023-05-15,2025-07-06,8,3314,433,3,1,1,2,1,False,Pass,No
